"pob","pib","tiempo"
1304,22997.3301848174,1989
1334,22684.6099255617,1990
1305,22206.6275240996,1991
1291,21814.0907318098,1992
1326,22145.2542789376,1993
1376,20586.8481121687,1994
1270,21652.5730691219,1995
1335,23142.7970349501,1996
1296,21520.2002365975,1997
1257,23171.6408030728,1998
1302,23533.4229558811,1999
1371,23487.6463594318,2000
1380,23521.9547850655,2001
1407,24560.6448235902,2002
1397,25927.2830429844,2003
1367,23568.590967983,2004
1494,23870.5552076093,2005
1384,23750.2072152275,2006
1431,22407.5445297246,2007
1467,21778.2237922801,2008
1466,22754.4022873351,2009
1510,21879.1917428384,2010
1491,21496.4929290601,2011
1588,21493.7464766305,2012
1592,24370.2871806785,2013
1639,24692.7763683155,2014
1571,24561.7563537415,2015
1696,26032.6254450768,2016
1797,25725.9241836966,2017
