"pob","pib","tiempo"
5772,152756.051955221,1989
5790,152546.000176847,1990
6067,168218.240467349,1991
6371,169285.429815468,1992
6585,174826.760254156,1993
6907,164446.44621183,1994
7119,165291.931320832,1995
7589,171892.292346068,1996
7918,165704.366668588,1997
7676,165589.125207197,1998
7216,174127.811100683,1999
7616,184777.231648565,2000
7730,184172.425370355,2001
7375,188712.679748836,2002
7130,198526.805801087,2003
7317,206228.968967756,2004
7642,221942.852005814,2005
8301,231988.184797483,2006
8621,240216.602820696,2007
9095,230647.954442856,2008
9473,226066.357718588,2009
9840,245765.713731789,2010
10241,240702.50662269,2011
10568,226105.150189625,2012
10933,222358.511279754,2013
11456,215791.199849635,2014
11481,215181.045709159,2015
11961,223105.754019636,2016
12671,213210.504733227,2017
