"pob","pib","tiempo"
1084,5049.33883038583,1989
1097,5112.23762028972,1990
1143,4956.06281255571,1991
1123,5213.63644367452,1992
1205,5018.58773298375,1993
1220,5316.05186552231,1994
1288,5776.90072900516,1995
1386,5750.64017409443,1996
1441,5466.27813915022,1997
1442,6110.25517145541,1998
1481,6620.15495792122,1999
1466,6372.65225374228,2000
1527,6825.48150003778,2001
1565,7452.59500542765,2002
1614,8010.47540286074,2003
1639,8137.93489017558,2004
1614,8331.74795349404,2005
1604,9043.08954616606,2006
1691,9889.64652756888,2007
1679,9725.05787605172,2008
1740,10392.2273366326,2009
1769,10713.5744729912,2010
1973,11076.0169946676,2011
1967,11318.6470546481,2012
2039,11271.5195800689,2013
2114,11873.9827115948,2014
2162,11896.8927347788,2015
2255,11200.343389313,2016
2347,11244.8426620703,2017
