"pob","pib","tiempo"
1622,23545.3901604131,1989
1582,21886.9832126274,1990
1760,24357.7431684739,1991
1644,25819.3088255559,1992
1851,25557.0699523518,1993
1991,26348.5648704545,1994
2018,24904.725980451,1995
2169,23379.3131320527,1996
2116,22123.5781256582,1997
2123,23627.0910579021,1998
2169,24399.4081238838,1999
1998,24812.2063958807,2000
2039,23118.5341576275,2001
2147,23435.3125708445,2002
2093,23668.5161884541,2003
1994,24334.3358896323,2004
1839,24874.7944663523,2005
1835,23756.753307199,2006
1874,22753.1788683307,2007
1910,24591.1324411482,2008
2123,25669.3921653262,2009
2094,26326.4553630164,2010
2300,26721.6095340284,2011
2424,26420.2588207284,2012
2494,28328.5800811556,2013
2563,28631.3686697743,2014
2734,28021.4949345185,2015
2850,30127.7489670285,2016
2796,32646.456766862,2017
