"pob","pib","tiempo"
4151,81254.9554919253,1989
3953,89388.3408597205,1990
4187,93264.6592896485,1991
4660,95825.8465945979,1992
4518,95683.173645519,1993
4795,98080.7609355252,1994
5164,97171.4191288105,1995
5244,91940.1168409447,1996
5340,90592.6208909334,1997
5288,92297.3636242827,1998
5377,96076.2137973735,1999
5413,97723.4165928281,2000
5240,108269.15063704,2001
5444,112881.949044923,2002
5619,112009.826248927,2003
5970,104109.362880672,2004
5514,111838.685804508,2005
5765,124624.62682243,2006
5856,128382.994369886,2007
6004,127956.208811335,2008
6904,128126.003340258,2009
7193,125838.986761461,2010
7932,113653.00950109,2011
8000,116416.23437866,2012
8429,117023.465782777,2013
8902,120598.819057092,2014
8974,119917.939660405,2015
9432,123334.75425634,2016
8626,121200.826600763,2017
