"pob","pib","tiempo"
1593,59608.0176985327,1989
1640,55291.2048512706,1990
1768,54536.1610876415,1991
1919,53593.6281032732,1992
2175,50802.436110807,1993
2238,52378.7519406429,1994
2372,57586.8827414831,1995
2331,59118.8042685493,1996
2281,65938.0916868162,1997
2453,70172.6623252543,1998
2455,69073.091105008,1999
2384,67282.5582523403,2000
2468,61618.4238467628,2001
2257,65448.4411651797,2002
2158,66997.6880153861,2003
2010,64410.9732878173,2004
2027,63909.7360800412,2005
1899,72162.6184676673,2006
1973,77955.5206019333,2007
2109,82436.3206445739,2008
2295,87029.3448486693,2009
2276,89301.4450677242,2010
2289,93311.9116149879,2011
2305,97943.7361011112,2012
2332,94350.9664764477,2013
2309,92490.531701414,2014
2440,97448.4820147005,2015
2573,99892.7727569357,2016
2878,106650.747699491,2017
