"pob","pib","tiempo"
2598,34086.8750626723,1989
2607,36149.9210087523,1990
2887,39250.8528263209,1991
2798,40941.9191942461,1992
2995,42935.0590066307,1993
2923,44230.6343714405,1994
3184,43458.1869800076,1995
3174,44282.1859628846,1996
3256,44702.2992155763,1997
3569,48953.389051057,1998
3697,51924.5213098992,1999
3724,51931.958572082,2000
3759,54110.5950231675,2001
3933,54311.4547460275,2002
4229,53956.3945163868,2003
3972,59201.0264895034,2004
3942,61514.8028783547,2005
3831,62783.6539410732,2006
3979,60877.2713187802,2007
4131,61465.6241557253,2008
4174,64695.5501385244,2009
4046,63337.7238257192,2010
4040,64899.2914934183,2011
3913,67802.890474324,2012
4207,60671.6188539104,2013
3713,58582.2154039438,2014
3703,63183.4553683365,2015
3558,60679.2808529186,2016
3297,61528.4974766857,2017
