"pob","pib","tiempo"
6810,98366.7549579797,1989
7051,115461.75011981,1990
7067,114972.784148756,1991
7736,125238.360735214,1992
7793,121695.408009937,1993
7877,123471.643593352,1994
8100,119529.260198256,1995
7583,129396.839754965,1996
6964,114896.128511008,1997
6583,123553.965623836,1998
6970,131132.622489939,1999
7263,132185.386435901,2000
8145,129558.597140908,2001
8527,130554.046409123,2002
8855,123014.784130595,2003
9197,114936.496211106,2004
8790,103228.067863283,2005
8465,102583.659999844,2006
8260,105574.299703284,2007
8524,101339.458289933,2008
8625,107770.502224775,2009
8826,111714.503103638,2010
9203,112102.01180265,2011
9455,116990.08988489,2012
9462,120496.768132859,2013
10173,123297.670499262,2014
10609,118936.869377196,2015
10495,113359.911927174,2016
10726,124000.04987569,2017
