"pob","pib","tiempo"
5679,106462.298820479,1989
6092,104115.428015199,1990
5804,104142.410683551,1991
6379,103637.948293976,1992
6931,103531.727841761,1993
7066,106062.432829154,1994
6888,114151.637859864,1995
7303,115194.715931346,1996
7735,116758.415974327,1997
7850,118351.862320017,1998
7981,111885.086671422,1999
7755,105226.729858223,2000
8510,107548.512956228,2001
9392,105542.37686642,2002
9910,111460.90226604,2003
10906,115242.573391184,2004
10520,111495.978833418,2005
10406,117757.456744992,2006
10399,114951.536348975,2007
10186,118067.419516306,2008
10680,122248.340188851,2009
10380,134778.021365007,2010
10590,133179.257624698,2011
11390,134260.119205203,2012
11969,142004.792716801,2013
12611,144560.116087492,2014
11637,152221.274083999,2015
11983,156467.007120565,2016
11885,148366.18901004,2017
