"pob","pib","tiempo"
4291,96597.6192644158,1989
4343,104804.31445162,1990
4515,114620.429179408,1991
4612,116450.337630149,1992
4765,113540.748609493,1993
4656,120453.338042944,1994
4533,120253.484351104,1995
4480,110004.291055407,1996
4624,118080.902834148,1997
4860,111142.530216799,1998
4947,110347.42889641,1999
5429,127469.24562761,2000
5448,123698.149810091,2001
5754,131148.739161414,2002
5668,127729.36755699,2003
5962,122718.445197609,2004
6075,111353.098248573,2005
6322,106728.956458994,2006
5704,113464.246630286,2007
5720,112450.587746161,2008
6082,117655.961128941,2009
5619,122834.958553186,2010
5366,122720.846122603,2011
5445,131673.097665237,2012
5566,142022.398319606,2013
5862,150980.31774563,2014
6089,140998.258672215,2015
6393,140080.652504475,2016
6518,130889.850628994,2017
