"pob","pib","tiempo"
8457,111898.640761521,1989
8818,109048.755478741,1990
9704,98450.5586365243,1991
10718,100797.169876591,1992
11078,104587.345085236,1993
11928,106501.229798166,1994
11798,108646.248636062,1995
12737,111784.530792548,1996
12646,118191.73550445,1997
12867,119381.958992501,1998
13721,121356.838937688,1999
15380,121972.83016826,2000
15238,124218.118960339,2001
15747,117550.388243091,2002
15846,115814.21682687,2003
14629,115899.689374622,2004
14177,115087.170715042,2005
13886,123318.747360785,2006
14560,138655.150022649,2007
14231,139451.928135088,2008
15216,146840.48825495,2009
15542,152834.583229624,2010
17453,161645.985890414,2011
18054,160004.702675539,2012
18792,165332.790210322,2013
20499,168242.167079441,2014
21120,183567.254853136,2015
19335,191399.90248054,2016
19875,199160.713715949,2017
