"pob","pib","tiempo"
1622,81497.1597185767,1989
1573,81453.9256992234,1990
1523,84457.3043513647,1991
1483,83783.0309733049,1992
1549,86997.0844906815,1993
1692,83112.8855570768,1994
1661,84695.7387453521,1995
1724,84112.2353001955,1996
1785,84603.422306799,1997
1925,92490.9771060466,1998
2131,98395.3553803227,1999
2073,97619.0546985479,2000
2016,99413.8834115066,2001
1968,100127.245973446,2002
2007,104168.696304046,2003
2036,106692.355528715,2004
2033,101929.618391774,2005
1900,114073.557441039,2006
1849,108429.544676974,2007
2019,103851.21277168,2008
2100,106276.278653779,2009
2104,106276.18438323,2010
2136,115980.703008305,2011
2351,124579.188910984,2012
2406,123330.974760788,2013
2348,125808.101397112,2014
2484,127523.937146403,2015
2684,132573.094190347,2016
2714,122079.428817669,2017
