"pob","pib","tiempo"
8152,124593.211151969,1989
8608,121102.188041764,1990
8858,125671.441479993,1991
9224,128622.684133532,1992
9278,133244.880408304,1993
9435,138203.708064833,1994
9557,150434.506405753,1995
9722,154412.523317415,1996
9751,159906.525037474,1997
9346,141287.080335775,1998
9579,136734.601523955,1999
9435,143335.094858541,2000
9268,153776.391268196,2001
8590,159847.496308094,2002
8986,174473.140931505,2003
9912,171372.081932108,2004
10806,175722.375595717,2005
11509,168423.378534922,2006
11213,189462.007831307,2007
11932,189882.916977852,2008
11985,191826.942559494,2009
12950,209314.295538706,2010
13763,215203.081448358,2011
13733,213190.292378435,2012
13403,228185.802025845,2013
14040,254329.491999455,2014
14862,247868.395664482,2015
14755,242917.405288793,2016
14430,254132.430604352,2017
