"pob","pib","tiempo"
5730,74942.6747718565,1989
5719,74599.5945747235,1990
5704,79614.7111088711,1991
5458,81189.4608754605,1992
5217,81856.7343409741,1993
5530,83221.9371485071,1994
5887,90424.2884727926,1995
5784,94936.6445134699,1996
5472,89099.7586085236,1997
5753,95293.1687152851,1998
5910,103994.433328085,1999
6509,98071.0517862062,2000
6499,103939.185454474,2001
6485,104307.418253395,2002
6427,102028.2116396,2003
7085,94347.8282963717,2004
6945,97037.1154241474,2005
7136,93530.3398263533,2006
7323,93603.3850271756,2007
7410,89876.8003732831,2008
7696,96888.2570922238,2009
7938,93029.5207672935,2010
7976,92519.2820021373,2011
8460,101757.653155219,2012
7841,116243.666545489,2013
8967,118699.347640302,2014
9765,126517.615408238,2015
10558,129964.879465335,2016
12193,131554.981959792,2017
