"pob","pib","tiempo"
4400,66417.8322011273,1989
4169,66590.5478589066,1990
4210,66846.6614415064,1991
4267,63314.1512877996,1992
4633,60429.2256095946,1993
4853,56750.7966010607,1994
4730,58356.5005202084,1995
4914,56974.7182211387,1996
4698,57611.9442717411,1997
4962,55403.0555864382,1998
5620,54914.5729140296,1999
5657,58847.5427320081,2000
5546,57590.0326575082,2001
5250,59649.3528841205,2002
5292,61655.1235753973,2003
5326,64426.4352961686,2004
5849,63742.5434703937,2005
6177,68488.2053383513,2006
6133,71374.7283496904,2007
6364,73003.190036407,2008
6261,81309.9207817506,2009
6674,82846.984908721,2010
6925,80004.4698729375,2011
6477,79612.9640174712,2012
6366,77868.5505817893,2013
6313,75980.1352440107,2014
6340,72950.4754399288,2015
6418,74286.1238578145,2016
6453,78124.0448569224,2017
