"pob","pib","tiempo"
2295,22577.8185545201,1989
2378,22457.446507316,1990
2545,21685.0365508558,1991
2406,22223.9885605917,1992
2620,22813.5413817221,1993
2681,22489.9716546428,1994
3049,21772.7079296463,1995
3161,22685.9554706012,1996
2952,23441.2711854414,1997
2821,23046.023891599,1998
2877,23228.1895150997,1999
3070,23415.3816358962,2000
3093,24429.4438229348,2001
2929,24572.7210699374,2002
2975,22791.7401250453,2003
3098,24054.5695724086,2004
3373,23964.8699027924,2005
3491,24668.1883118653,2006
3570,24712.0867101004,2007
3590,25723.6547286228,2008
3702,27128.7579608427,2009
3885,27957.8590255075,2010
3925,29621.7341299066,2011
3705,32287.6516034257,2012
3745,34089.8735334128,2013
4079,35582.3787568378,2014
4065,36012.8504458597,2015
3947,37671.3825900082,2016
3997,36663.3289886576,2017
