"pob","pib","tiempo"
5895,85810.8079641529,1989
6041,86840.8197729548,1990
6046,93042.8347091429,1991
6135,98375.0704016967,1992
5975,92627.4311116679,1993
6057,92066.5391902295,1994
5931,95131.8858290853,1995
6127,95549.8795512436,1996
6203,95893.3419161585,1997
6032,102570.330693436,1998
6041,112561.250201324,1999
6382,112640.324178096,2000
7095,114094.945222735,2001
7105,121213.420808324,2002
7008,120376.69617033,2003
7268,122494.755493709,2004
7672,126706.050985521,2005
7788,109364.085958358,2006
7695,113699.960832567,2007
8090,114168.166725918,2008
7390,119810.970610787,2009
7693,120047.249670984,2010
8109,121801.785049284,2011
7623,116497.757865287,2012
7154,115382.007970559,2013
7431,123306.411312655,2014
7821,122582.105442598,2015
6923,126564.03067379,2016
6093,130702.370042969,2017
