"pob","pib","tiempo"
5175,200179.158456186,1989
5523,197068.301212363,1990
6169,209084.053923099,1991
6443,207211.832814645,1992
6856,216590.284262207,1993
7043,222161.561531128,1994
7136,221878.778611289,1995
7011,221673.144933623,1996
7420,210273.414751712,1997
8162,208077.424952028,1998
7773,217769.016950122,1999
7725,244653.268615461,2000
7778,237980.408362966,2001
7529,218054.287932128,2002
7435,219498.006509544,2003
7831,213144.982352674,2004
7334,226145.97722379,2005
7004,241198.469756742,2006
7006,249718.283833664,2007
6767,262778.496403668,2008
7403,269812.565872118,2009
7302,306514.156235499,2010
7740,296416.285512943,2011
8779,294593.544615369,2012
9149,278422.949186094,2013
8888,274999.400844184,2014
8776,304806.314628978,2015
9213,317714.085071408,2016
9355,308316.687370014,2017
