"pob","pib","tiempo"
1354,68496.8270242498,1989
1404,70921.6071059669,1990
1408,71633.7681084532,1991
1566,77408.1449664993,1992
1645,87795.717712499,1993
1681,91324.1439928562,1994
1542,88661.2755769249,1995
1556,82355.6013174774,1996
1508,81351.9927226174,1997
1498,77512.1476577808,1998
1485,71562.1529222186,1999
1419,75209.1077219356,2000
1524,78061.4119310081,2001
1538,80116.4973805012,2002
1535,86925.3704364551,2003
1609,86436.5943721359,2004
1483,88036.0291018774,2005
1413,91576.4285309873,2006
1479,95324.6510363829,2007
1551,88769.1736147058,2008
1569,97345.8903742151,2009
1541,90078.0108070478,2010
1574,97199.9599399296,2011
1601,89699.3913213514,2012
1806,85697.6429714301,2013
1835,86700.1391346937,2014
1933,82563.8402331774,2015
1891,87208.2826278998,2016
1909,86502.500666801,2017
