"pob","pib","tiempo"
3957,49078.0922415425,1989
4339,51798.9613394187,1990
4418,52575.3838146756,1991
4464,52760.3145373339,1992
4271,55350.327294455,1993
4369,51306.2023323898,1994
4467,51209.2859761942,1995
4736,52239.7012769897,1996
4918,53007.8138175959,1997
4959,56135.4962712326,1998
5117,56820.6055270792,1999
5499,53797.6179016976,2000
5948,57139.2699123221,2001
6396,59744.9695091599,2002
6445,56799.0202916427,2003
6445,60833.8168074118,2004
6625,59496.2803018263,2005
5320,59543.7634404001,2006
5618,59944.6470571178,2007
5353,68462.0612201981,2008
5708,69250.1851106845,2009
5400,74265.5629303407,2010
5407,74174.8090081496,2011
5613,78367.9233667128,2012
5929,86173.0219134015,2013
5787,87319.2579180707,2014
6372,81901.4863402888,2015
6310,87137.9559987905,2016
6103,87662.5035807478,2017
