"pob","pib","tiempo"
2996,43207.177182774,1989
3177,40440.4675114676,1990
3216,44193.7384926469,1991
3275,45977.9977224745,1992
3536,45971.0763606326,1993
3562,48930.9228067795,1994
3694,47966.4740115685,1995
4003,45890.4511373801,1996
3961,44407.3225005983,1997
3730,48774.0231524192,1998
4055,51213.374165741,1999
3816,55835.0586502372,2000
4243,60072.4286145572,2001
4175,62282.3108444638,2002
3802,69389.1607008347,2003
3586,69660.0766122646,2004
3442,70537.3859104712,2005
3545,71820.5193894541,2006
3784,66814.6527760036,2007
3612,64975.4080747022,2008
3672,71293.430580855,2009
3663,72816.8059503445,2010
3727,74402.0742363947,2011
4064,78638.5483891287,2012
3864,71960.0028001428,2013
3888,72623.8109808831,2014
3922,74436.0266653863,2015
3850,85006.7435613596,2016
3898,83827.9690312288,2017
