"pob","pib","tiempo"
8356,157840.037692629,1989
9411,166234.053600839,1990
9913,164803.944865424,1991
10716,176365.720966445,1992
10279,174466.627403954,1993
10782,171675.91384846,1994
10293,185958.646125739,1995
10006,177250.320659898,1996
10994,180665.319314502,1997
11318,175727.991272668,1998
12083,179944.537811288,1999
11875,196403.355475587,2000
11802,192401.930247982,2001
11682,207627.498351738,2002
11575,215741.832299713,2003
11971,207872.262507509,2004
12510,206760.72827937,2005
14683,206999.95654263,2006
14659,213445.28051179,2007
16164,225002.331283747,2008
16095,233987.448727431,2009
17525,240700.256782173,2010
18367,223177.269495901,2011
17752,227619.709625819,2012
18998,233681.270080466,2013
17574,244739.506604224,2014
17430,237563.436043237,2015
18383,257972.125177875,2016
19661,266403.105854356,2017
