"pob","pib","tiempo"
4591,54910.243311311,1989
4747,50578.1489694687,1990
5006,52039.9939923854,1991
5140,54130.2135482046,1992
4904,57705.844372976,1993
5071,64341.5816073073,1994
5327,67917.5219011351,1995
5347,78243.0514076166,1996
5925,77923.2262603009,1997
5938,78626.093381714,1998
6325,78720.9346855724,1999
6564,72983.4649899619,2000
6679,72001.5840997059,2001
6700,70259.8367534136,2002
6130,67964.6117443804,2003
5830,68163.4434894784,2004
5695,71755.6576602218,2005
5456,70436.7182271707,2006
5503,66026.2368348037,2007
5148,71334.3300178759,2008
4880,69379.9409141665,2009
5081,72088.6487383951,2010
4915,72220.4801152274,2011
5576,69660.0345175516,2012
6317,74332.0860143583,2013
6325,79049.430327374,2014
6318,87223.8811098752,2015
6355,104103.813956498,2016
6461,105774.546254098,2017
