"pob","pib","tiempo"
8076,106461.704262135,1989
8242,109070.051851157,1990
8540,115567.055828129,1991
8840,121694.031208174,1992
9511,118093.079089358,1993
11052,113955.110782147,1994
10829,118137.929359913,1995
11175,130512.223528202,1996
11140,139207.908325275,1997
10490,129725.747636648,1998
10715,136883.408123074,1999
10625,160248.387965587,2000
10133,162185.600824322,2001
9647,174655.606394927,2002
10014,186345.982172334,2003
10604,176178.882102296,2004
10931,183777.096962744,2005
10666,185691.762542365,2006
11291,204820.767822724,2007
12068,223854.96043846,2008
12698,233909.288306424,2009
12552,247415.645948727,2010
14306,244236.76117834,2011
13535,248101.815451967,2012
14588,260860.020593028,2013
15484,264540.470786221,2014
15385,256119.990985421,2015
16284,259631.693252967,2016
18385,265600.869345449,2017
