"pob","pib","tiempo"
8314,129414.600790107,1989
8639,125131.664399369,1990
8747,132837.190199141,1991
7990,133118.910869076,1992
7958,133708.142012529,1993
8302,122941.695907627,1994
8803,123217.220854453,1995
9326,122075.05957271,1996
9653,122882.96533636,1997
9499,132018.896343856,1998
10212,128751.323553867,1999
10059,122001.110751846,2000
10649,124865.253725451,2001
10753,124888.345217708,2002
10857,127425.632857926,2003
10951,135946.801886131,2004
11206,142585.968290354,2005
11021,137377.772293433,2006
11538,118798.331109132,2007
11004,112303.783786643,2008
11929,122811.121518385,2009
12715,121500.026132601,2010
13172,123259.813517443,2011
13378,124251.517158568,2012
13527,128486.40986654,2013
12699,134099.254058232,2014
12972,138045.825254539,2015
13416,141609.978106675,2016
12861,144516.133183054,2017
