"pob","pib","tiempo"
2265,30760.268116308,1989
2194,33348.0750695116,1990
2297,34893.2293302428,1991
2559,34701.6504968042,1992
2828,32290.00677979,1993
2914,33217.2600535154,1994
2839,33474.6993178044,1995
3001,32544.7033803216,1996
3386,34332.3242908214,1997
3237,33959.7170271123,1998
3039,31169.1300937678,1999
2939,32932.0243995914,2000
3127,32878.462067702,2001
3235,32516.534566751,2002
3080,31926.0666313578,2003
3280,33032.3358535739,2004
3271,32723.7397936377,2005
3363,34787.6855164715,2006
3329,35660.3062695786,2007
3552,36529.5267463825,2008
3856,41108.550533334,2009
4145,44279.5144904655,2010
4250,45291.2010764192,2011
4523,46272.4022236711,2012
4349,46769.7425796916,2013
4494,50848.0445339963,2014
4582,51696.2012540986,2015
4620,54310.2717079392,2016
4717,57868.6726749622,2017
