"pob","pib","tiempo"
8677,120691.536931176,1989
9539,114699.152136517,1990
9314,109284.665706777,1991
9066,112962.813436022,1992
9658,109571.503829697,1993
10435,118044.627829838,1994
10571,118828.01875857,1995
10835,120603.735616491,1996
12415,128862.017001128,1997
12448,125085.562065882,1998
12693,132002.314043309,1999
12652,135538.983888053,2000
13680,142493.946581619,2001
13862,142912.830851421,2002
13952,131278.826822189,2003
15174,133406.34342405,2004
16764,133731.448503542,2005
16574,133207.943978194,2006
16940,133404.424578789,2007
15690,144654.142578119,2008
16869,144167.816076538,2009
17289,144635.950874983,2010
17433,145056.685011323,2011
17760,148443.024730285,2012
17981,156794.142966241,2013
18188,165721.286676051,2014
18166,161823.474324379,2015
19082,158764.481761439,2016
18354,158374.885264725,2017
