"pob","pib","tiempo"
1528,19048.4022249771,1989
1457,19745.136398319,1990
1450,20819.7947970553,1991
1415,23160.4513244657,1992
1383,23805.9730028455,1993
1380,26511.2688998117,1994
1356,28292.1271660308,1995
1328,29572.3531261702,1996
1346,30314.4011230846,1997
1396,31511.6298790217,1998
1518,29247.9391231157,1999
1503,30803.2833337199,2000
1623,34219.5478429001,2001
1773,35637.3961226287,2002
1867,36271.6301737065,2003
1868,38792.5193573679,2004
2024,36442.9847084813,2005
1984,36035.7457550472,2006
1973,38805.9039717535,2007
2075,40949.1864426616,2008
2076,45312.8838271424,2009
2037,48587.4254598773,2010
2047,53559.508747923,2011
2175,50715.5579951902,2012
2148,51403.0068541619,2013
2174,53747.9341280901,2014
2063,56813.8339181205,2015
2065,59648.7571923933,2016
2218,61796.2230195592,2017
