"pob","pib","tiempo"
3330,49178.2331948855,1989
3327,44187.8804739667,1990
3519,43313.8037241732,1991
3233,40651.7247957759,1992
3426,41673.2706016901,1993
3980,41152.2519285875,1994
3999,46535.4397060322,1995
4118,46386.229260762,1996
4266,48233.4155548314,1997
4171,47452.4204367368,1998
4321,53355.511700215,1999
4396,60894.6844984123,2000
4225,63468.8565972697,2001
4191,58748.2183520661,2002
4254,60495.7063218404,2003
4290,66394.5347154267,2004
3957,65242.1130579072,2005
3698,64352.5433241898,2006
3945,68468.3453476466,2007
3683,70757.9107513274,2008
3915,65501.1204930081,2009
4307,68029.9226378108,2010
4540,63730.3621656068,2011
4339,68735.2359947192,2012
4950,72424.8594540942,2013
5134,68945.1186902859,2014
5070,65752.0609612607,2015
5108,67534.8867391347,2016
5511,67815.0857374084,2017
